record_name,c_x,c_y,c_type,adc_heading,adc_speed,obs_id,obs_heading,obs_speed,obs_type,obs_len,obs_wid,obs_height,speeding_x,speeding_y,speeding_value,speeding_duration,speeding_heading,lanes_speed_limit,uslc_x,uslc_y,uslc_duration,uslc_heading,fastAccl_x,fastAccl_y,fastAccl_value,fastAccl_duration,fastAccl_heading,hardBrake_x,hardBrake_y,hardBrake_value,hardBrake_duration,hardBrake_heading,c_counter,speeding_counter,uslc_counter,fastAccl_counter,hardBrake_counter,totalV
Generation0_Scenario38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,{('1836_1_-2'|72.0)|('1840_1_-2'|72.0)|('1841_1_-1'|72.0)|('694_1_-1'|72.0)|('1841_1_-2'|72.0)},0,0,0,0,0,0,0,0,0,587674.2876844456,4141262.9180703787,-4.039848701365434,0.24802303314208984,-1.8052136225976778,0,0,0,0,1,1
Generation0_Scenario29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,{('650_1_-1'|104.0)|('650_1_-2'|104.0)|('652_1_-1'|104.0)},0,0,0,0,0,0,0,0,0,588334.8154724971,4140989.2533137053,-4.003940777866825,0.489987850189209,1.1930020399521277,0,0,0,0,1,1
Generation3_Scenario33,0,0,0,0,0,0,0,0,0,0,0,0,587696.4503745175,4141448.1742820246,8.057955750275621,0.35996079444885254,-0.254448319063838,{('25a_1_-1'|30.0)|('39_1_-2'|72.0)|('37_1_-3'|72.0)|('155_1_-3'|72.0)|('2427_1_-4'|72.0)|('37_1_-4'|72.0)},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Generation4_Scenario17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,{('650_1_-1'|104.0)|('650_1_-2'|104.0)|('652_1_-1'|104.0)},0,0,0,0,0,0,0,0,0,588335.058198432,4140988.8197891205,-4.039269030242798,0.5000016689300537,1.2098950792062189,0,0,0,0,1,1
Generation6_Scenario38,586152.8458557004,4140863.337184079,3,-1.4192895529172447,21.119331574713698,28705,-1.7268529601850438,22.93648900254877,2,11.25539724328981,1.889406805786499,3.01382103867262,0,0,0,0,0,{('321_1_-2'|117.0)|('90a_1_-1'|30.0)},0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Generation6_Scenario48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,{('621_1_-2'|104.0)|('103a_1_-1'|30.0)},0,0,0,0,588457.1640042446,4141042.0539156995,4.0,0.06996417045593262,-2.565787372248304,588461.0898133001,4141044.604653303,-4.015265171259852,0.5900115966796875,-2.5659404676976494,0,0,0,1,1,2
Generation9_Scenario44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,{('362_1_-1'|117.0)|('236_1_-1'|65.0)|('236_1_-2'|65.0)|('363_1_-1'|104.0)},0,0,0,0,0,0,0,0,0,585823.2024386539,4139995.9778382494,-4.01688984231542,0.5600018501281738,-1.7604892127797245,0,0,0,0,1,1
Generation10_Scenario5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,{('408_1_-1'|56.0)},0,0,0,0,0,0,0,0,0,586760.1031371065,4140814.467249455,-4.00641210058958,0.4500148296356201,2.8903345600153703,0,0,0,0,1,1
Generation12_Scenario2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,{('658_1_-1'|104.0)|('715_1_-1'|104.0)|('655_1_-1'|104.0)},0,0,0,0,0,0,0,0,0,588308.0724993604,4140852.7257500514,-4.006464960293898,0.13999652862548828,-1.4699893715858698,0,0,0,0,1,1
Generation14_Scenario18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,{('210_1_-1'|72.0)},0,0,0,0,586270.2100784921,4141498.858834293,4.0,0.8400981426239014,-0.25122064946178346,586265.9909578962,4141499.9438195447,-4.016972073010878,0.6499528884887695,-0.2522569242151933,0,0,0,1,1,2
Generation18_Scenario24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,{('164_1_-1'|72.0)|('161_1_-1'|72.0)},0,0,0,0,0,0,0,0,0,587420.2991667954,4141511.0999483247,-4.0069395623220485,0.3999807834625244,0.0005010990128782034,0,0,0,0,1,1
Generation18_Scenario41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,{('436_1_-1'|91.0)},0,0,0,0,0,0,0,0,0,587006.0383678782,4140567.375643891,-4.001639074856468,0.3400278091430664,-0.24677536399286604,0,0,0,0,1,1
