RecordName,ObsNum,AVG_OBS2ADC_Distance,Speed_Below_Limit,ADC2LaneBound_Distance,FastAccl,HardBrake
Generation0_Scenario1,13,1163.6078716627608,31.19682730984441,0.389081978232763,2.0,-0.2901433799943068
Generation0_Scenario2,13,759.5217246467114,32.45667577141678,0.8177601157329184,2.0,0.0
Generation0_Scenario3,12,1457.6605442971606,60.90216704060369,0.31297158367601124,2.0,-2.844672080684409
Generation0_Scenario4,10,1150.380582129173,76.31438757850921,0.04303591966204384,2.0,0.0
Generation0_Scenario5,10,642.9526126902496,-7.7956786713731,0.09862606501867624,2.0,-2.587044836240615
Generation0_Scenario6,12,787.4300544109384,37.41409290522694,0.2545573121086845,2.0,-1.1757907715742923
Generation0_Scenario7,13,1391.8538125422021,73.95705533514372,0.0026867735827081343,1.9452580265749162,-2.135794376857945
Generation0_Scenario8,15,1336.6125693582878,61.401763886678985,0.47639692989711835,2.0,0.0
Generation0_Scenario9,14,1025.0586267453216,32.454769600446284,0.4530028929663332,2.0,0.0
Generation0_Scenario10,4,848.4165140507916,-3.9749598839435585,3.0745520742727576e-05,2.0,-2.3123284366630443
Generation0_Scenario11,8,1288.1138932829685,77.41709636050057,0.5927737677467858,2.0,0.0
Generation0_Scenario12,13,1385.0002631965076,28.968430177741517,9223372036854775807,2.0,-0.02294239522311189
