RecordName,x_start,y_start,x_end,y_end
Generation0_Scenario1,586541.937867981,4141155.47112978,586743.377655941,4141019.92908064
Generation1_Scenario18,586338.07215207,4141266.08401082,587669.086429961,4141238.44073334
Generation9_Scenario24,586391.166898836,4141472.82974345,587507.202493473,4140662.77366978
Generation10_Scenario34,586819.948777981,4140799.21137598,586826.524484977,4140706.53062188
Generation11_Scenario21,586245.638458863,4141230.13223573,586944.002310077,4141596.91269153
Generation13_Scenario22,588302.030281718,4140907.17478397,585882.690252675,4139995.06594189
Generation15_Scenario15,586242.620661019,4141218.12433406,587262.815254649,4140930.25746041
Generation15_Scenario21,586489.562216363,4140154.30359993,587261.198882822,4141538.4485251
Generation15_Scenario47,587239.405317306,4140732.09240914,586376.456264355,4141476.40671329
Generation16_Scenario33,586945.829661026,4140582.26336078,586184.641762109,4140838.44938772
Generation17_Scenario18,586830.842486155,4140708.35640968,586153.726683996,4140119.78378025
Generation18_Scenario3,588266.234278316,4141025.45773091,587651.784566181,4140436.94778014
Generation20_Scenario41,588318.260263329,4140932.50067348,586195.77798874,4140341.19305273
Generation25_Scenario10,587651.932328744,4141461.04131923,587606.759386618,4141472.12091666
Generation28_Scenario21,586948.554182209,4140581.57052173,586396.096612421,4140535.86111778
Generation31_Scenario33,586237.449622537,4141197.80124623,586184.203947521,4140181.39653627
Generation32_Scenario7,586390.032273447,4141469.58470241,587632.741906879,4141068.62334495
Generation34_Scenario3,586237.292491103,4141209.57993849,587893.254210268,4141397.83633483
Generation34_Scenario48,587634.901433056,4140427.17822182,588575.448814412,4140796.49801872
Generation35_Scenario14,587012.354999061,4141579.60021675,586127.520600418,4140544.05558982
Generation35_Scenario19,585831.694763492,4140037.31527476,586141.042150915,4140839.33960118
Generation36_Scenario33,586925.426742948,4140587.46000437,586239.962535286,4141295.48390383
Generation37_Scenario19,586130.583683119,4140120.2584047,586840.586865965,4140746.69033726
Generation38_Scenario10,586237.930256931,4141212.09748904,587569.339026291,4140576.54900716
Generation41_Scenario27,586872.685993924,4141618.39459821,586958.521323606,4141248.27158774
Generation41_Scenario50,586154.007936478,4140891.7053505,587263.306929528,4140928.09782197
Generation42_Scenario43,587254.297450841,4140446.32201642,587356.29324101,4141301.80469151
Generation45_Scenario24,587635.171650462,4140441.06406113,586495.479707223,4141158.20164956
Generation45_Scenario40,586319.099571226,4141271.81394438,587145.202490283,4141549.2251362
Generation45_Scenario43,586273.96462564,4141367.48375307,586071.696887441,4140097.65380439
Generation46_Scenario1,586157.23741522,4140904.66740387,586199.782974717,4140300.50655776
Generation48_Scenario15,586464.17419073,4140862.76334567,586128.47874996,4140779.69925467
Generation54_Scenario31,586172.859212802,4141301.46914542,586539.266342241,4140166.01875621
